,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,REGION,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,ADM_RATE,SATVR25,SATVR75,SATVRMID,SATMT25,SATMT75,SATMTMID,SATWR25,SATWR75,SATWRMID,ACTCM25,ACTEN25,ACTMT25,ACTWR25,ACTCM75,ACTEN75,ACTMT75,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG_ALL,PCIP11,PCIP14,PCIP15,PCIP26,PCIP27,PCIP40,PCIP41,CIP11BACHL,CIP14BACHL,CIP15BACHL,CIP26BACHL,CIP27BACHL,CIP40BACHL,CIP41BACHL,UGDS,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,PFTFAC,C150_4,C150_L4,C150_4_POOLED,C150_L4_POOLED,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,DEP_INC_AVG,IND_INC_AVG,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FEMALE_RPY_3YR_N,MALE_RPY_3YR_N,MALE_RPY_5YR_N,FEMALE_RPY_5YR_N,MALE_RPY_7YR_N,FEMALE_RPY_7YR_N,FEMALE,UGDS_MEN,UGDS_WOMEN
4011,The Professional Hair Design Academy,Eau Claire,WI,54701-7633,National Accrediting Commission of Career Arts and Sciences,1,1,1,3,3,-3.0,-2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,,13169.0,,,,,,0.7818,,0.7879,,,,,54711.653846,14711.025,PrivacySuppressed,PrivacySuppressed,125,11,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.0455,0.9545
4012,ITT Technical Institute-Greenfield,Greenfield,WI,53220-4612,,135,2,3,3,3,28.0,6.0,6.0,,0.8612,,,,,,,,,,,,,,,,,,,,,,,0.4054,0.0,0.3108,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,370.0,28189.0,,18048.0,18048.0,5656.0,0.0577,0.359,,0.3509,,0.4831,0.2576,0.1935,1.0,38769.051205,20958.287472,13127.5,13000,21999,52551,12027,5744,4268,1942,0.2974852967,0.7514,0.2486
4013,Lakeland University,Plymouth,WI,53073,North Central Association of Colleges and Schools The Higher Learning Commission,1,3,4,2,3,18.0,5.0,9.0,76.0,0.9626,385.0,480.0,433.0,390.0,510.0,450.0,,,,16.0,15.0,16.0,,22.0,21.0,23.0,,19.0,18.0,20.0,,907.0,0.1111,0.0,0.0,0.0122,0.0052,0.0052,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2196.0,35844.0,,25050.0,25050.0,6522.0,0.1442,0.5132,,0.5235,,0.5182,0.375,0.4615,1.0,62993.226981,37073.047478,16516,17507.5,865,562,445,691,416,694,0.5907099036,0.4303,0.5697
4014,Lakeshore Technical College,Cleveland,WI,53015-1414,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,1,3,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0581,0.0,0.0539,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2129.0,12514.0,,4064.0,5990.0,8361.0,0.5944,,0.5827,,0.5242,,,,,53947.407867,26911.505376,5422.5,4500,797,455,340,615,232,531,0.6155202822,0.4481,0.5519
4015,Lawrence University,Appleton,WI,54911,North Central Association of Colleges and Schools The Higher Learning Commission,1,3,3,2,3,21.0,14.0,11.0,,0.6825,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.1718,0.0307,0.0429,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1527.0,53790.0,,43740.0,43740.0,7646.0,0.8578,0.7644,,0.7808,,0.7778,0.75,0.8125,0.5,101621.19624,1822.9166667,23984.5,27000,276,229,227,250,179,223,0.5519348269,0.4506,0.5494
4016,Maranatha Baptist University,Watertown,WI,53094,North Central Association of Colleges and Schools The Higher Learning Commission,1,3,4,2,3,22.0,13.0,8.0,54.0,0.6864,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,758.0,24845.0,,13940.0,13940.0,4444.0,0.6383,0.4416,,0.4433,,0.4536,,0.0,0.0,59234.528125,32159,10500,10000,210,167,154,211,139,147,0.523943662,0.4525,0.5475
4017,Marian University,Fond Du Lac,WI,54935-4699,North Central Association of Colleges and Schools The Higher Learning Commission,1,3,4,2,3,18.0,11.0,10.0,30.0,0.8390000000000001,,,,,,,,,,17.0,15.0,17.0,,23.0,23.0,24.0,,20.0,19.0,21.0,,950.0,0.0092,0.0,0.0,0.0369,0.0062,0.0062,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1538.0,35597.0,,27210.0,27210.0,6388.0,0.4041,0.4146,,0.4834,,0.5068,0.0847,0.3,0.6,69380.986486,34117.865,20568,17500,772,259,254,732,233,683,0.7171717172,0.28800000000000003,0.7120000000000001
4018,Marquette University,Milwaukee,WI,53233,North Central Association of Colleges and Schools The Higher Learning Commission,1,3,4,2,3,17.0,14.0,17.0,30.0,0.7421,530.0,640.0,585.0,540.0,660.0,600.0,510.0,640.0,575.0,24.0,24.0,24.0,8.0,30.0,31.0,29.0,9.0,27.0,28.0,27.0,9.0,1219.0,0.0154,0.124,0.0,0.124,0.0099,0.0066,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,8143.0,49868.0,,37170.0,37170.0,9870.0,0.562,0.7974,,0.7951,,0.813,0.6413,0.7899,0.7353,121749.17527,16359.272727,24955.5,23250,1343,1126,1028,1301,920,1120,0.5906801008,0.4663,0.5337
4019,Medical College of Wisconsin,Milwaukee,WI,53226-0509,North Central Association of Colleges and Schools The Higher Learning Commission,1,4,4,2,3,25.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,PrivacySuppressed,PrivacySuppressed,5000,5538.5,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.432,,
4020,Mid-State Technical College,Wisconsin Rapids,WI,54494,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,1,3,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.051,0.0039,0.0441,0.0088,0.0,0.0029,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2466.0,13487.0,,4211.0,6137.0,8259.0,0.4551,,0.302,,0.3026,,,,,51055.944669,22401.978495,5500,5250,1127,763,555,831,427,688,0.6064638783,0.4039,0.5961
